Name,CmdId,IPI5_MASK,IPI4_MASK,IPI3_MASK,IPI2_MASK,IPI1_MASK,IPI0_MASK,IPI_ASU_MASK,Category,Description
plmi_features,0x100,3,3,3,3,3,3,3,Features,Checks if a Api Id is valid for the plmi module
mask_poll,0x101,0,0,0,0,0,0,0,CDO,Read a 32-bit address until expected value or timeout
mask_write,0x102,0,0,0,0,0,0,0,CDO,Read Modify Write to specified 32-bit address with the specifed value and mask
write,0x103,0,0,0,0,0,0,0,CDO,Write specified value to the 32-bit address specified
delay,0x104,0,0,0,0,0,0,0,CDO,Delay in micro seconds
dma_write,0x105,0,0,0,0,0,0,0,CDO,Dma transfer of data present in the payload to the specified destination address
mask_poll64,0x106,0,0,0,0,0,0,0,CDO,Read a 64-bit address until expected value or timeout
mask_write64,0x107,0,0,0,0,0,0,0,CDO,Read Modify Write to specified 32-bit address with the specifed value and mask
write64,0x108,0,0,0,0,0,0,0,CDO,Write specified value to the 64-bit address specified
dma_xfer,0x109,0,0,0,0,0,0,0,CDO,Dma transfer of data present in the specified source address to the destination address for the specified length
init_seq,0x10a,0,0,0,0,0,0,0,Unsupported,Unsupported command
cframe_read,0x10b,0,0,0,0,0,0,0,CDO,Readback of Cframe data
set,0x10c,0,0,0,0,0,0,0,CDO,Memset of specified address range with specified value
dma_write_key_hole,0x10d,0,0,0,0,0,0,0,CDO,DMA Keyhole transfer for the specified address range and size
ssit_sync_master,0x10e,0,0,0,0,0,0,0,CDO,Sync with Master SLR
ssit_sync_slaves,0x10f,0,0,0,0,0,0,0,CDO,Sync with Slaves SLR
ssit_wait_slaves,0x110,0,0,0,0,0,0,0,CDO,Wait for Slave SLRs
nop,0x111,0,0,0,0,0,0,0,CDO,No Operation
get_device_id,0x112,3,3,3,3,3,3,0,IPI,Get device id value
event_logging,0x113,1,1,1,1,1,1,0,IPI,Event logging operations
set_board,0x114,0,0,0,0,0,0,0,CDO,Set Board Name
get_board,0x115,3,3,3,3,3,3,0,IPI,Get Board Name
set_wdt_param,0x116,0,0,0,0,0,0,0,CDO,Set WDT paramters
log_string,0x117,0,0,0,0,0,0,0,CDO,Print the string present in payload
log_address,0x118,0,0,0,0,0,0,0,CDO,Read and print the value present in the specified address location
marker,0x119,0,0,0,0,0,0,0,CDO,"No Operation, used for CDO metadata"
proc,0x11a,0,0,0,0,0,0,0,CDO,Defines a procedure consisting of CDO commands
begin,0x11b,0,0,0,0,0,0,0,CDO,Begins a CDO block
end,0x11c,0,0,0,0,0,0,0,CDO,Ends a CDO block
break,0x11d,0,0,0,0,0,0,0,CDO,Breaks a CDO block by jumping to the specified end level
ot_check,0x11e,0,0,0,0,0,0,0,CDO,Checks for OT condition and waits till it resolves
psm_sequence,0x11f,0,0,0,0,0,0,0,CDO,PSM Sequence
inplace_plm_update,0x120,0,0,0,0,0,0,0,Unsupported,Unsupported command
scatter_write,0x121,0,0,0,0,0,0,0,CDO,Scatter Write
scatter_write2,0x122,0,0,0,0,0,0,0,CDO,Scatter Write 2 words at a time
tamper_trigger,0x123,1,1,1,1,1,1,0,IPI,Trigger Tamper Response
set_fips_kat_mask,0x124,0,0,0,0,0,0,0,CDO,Sets FIPS KAT Mask
set_ipi_access,0x125,0,0,0,0,0,0,0,CDO,Sets Ipi Access permissions
run_proc,0x126,0,0,0,0,0,0,0,CDO,Runs a Proc which is defined previously
list_set,0x127,0,0,0,0,0,0,0,CDO,Stores a list of addresses for the given id
